Name,Add,Px,Py,Changetime,Picture1
順賢宮,高雄市845內門區內南里菜園頂8號-8(實踐大學正對面),120.47039,22.91245,2022/10/05 15:32:52,https://khh.travel/image/580/640x480
田寮月世界,高雄市823田寮區崇德里月球路36號,120.38898,22.88600,2022/09/28 13:52:30,https://khh.travel/content/images/Attractions/20398/640x480_attractions-image-scvbhgtswka0el7kfq8kca.jpg
壽山Love情人觀景台,高雄市804鼓山區忠義路30號(忠烈祠旁),120.27401,22.62548,2022/09/26 15:04:19,https://khh.travel/content/images/Attractions/20091/640x480_attractions-image-1iqp9gtzjemop-4yjqjsmq.jpg
SKM Park,高雄市806前鎮區中安路1之1號,120.32933,22.58259,2022/09/08 10:45:10,https://khh.travel/content/images/Attractions/38879/640x480_attractions-image-iyhcqhzijkudt9pnloh6rg.jpg
旗津貝殼館,高雄市805旗津區旗津三路887號2F,120.27425,22.60115,2022/09/08 10:35:56,https://khh.travel/content/images/Attractions/20416/640x480_attractions-image-wajrcf9sye-255ygid9jqq.jpg
西臨港線自行車道,高雄市804鼓山區(延高雄港),120.27674,22.61903,2022/09/08 10:34:48,https://khh.travel/image/759/640x480
茄萣漁村風情自行車路線,高雄市852茄萣區興達港情人碼頭,120.21172,22.87773,2022/09/08 10:34:11,https://khh.travel/content/images/Attractions/34240/640x480_attractions-image--x-lrndjhuwixy30h5mbja.jpg
佛光緣美術館 (總館),高雄市840大樹區佛光山寺(大雄寶殿後方),120.44484,22.75196,2022/09/01 14:18:18,https://khh.travel/content/images/Attractions/40662/640x480_attractions-image-xymp1tvk2ewn5p209spiag.jpg
澄清湖風景區,高雄市833鳥松區大埤路32號,120.35377,22.66039,000人，以園區入口處之看板做為管制人數之依據。*每日關園後實施清園，非園方或工作人員，不得於非開放...,
旗後礮臺（旗后砲台）,高雄市805旗津區旗後山上,120.26410,22.61303,2022/07/19 09:48:09,https://khh.travel/image/828/640x480
金獅湖風景區,高雄市807三民區金鼎路114巷11-2號,120.32769,22.66526,2022/07/13 09:05:03,https://khh.travel/content/images/Attractions/20826/640x480_attractions-image-7xfj4ihu-eiqq-4vspwexa.jpg
高雄市文化中心,高雄市802苓雅區五福一路67號,120.31814,22.62580,2022/07/01 16:16:48,https://khh.travel/image/93/640x480
孔廟,高雄市813左營區蓮潭路400號,120.29904,22.68923,2022/06/27 11:03:55,https://khh.travel/image/524/640x480
鳳山縣舊城,高雄市813左營區勝利路117號,120.29053,22.68025,2022/06/21 11:38:42,https://khh.travel/image/457/640x480
高雄市立美術館,高雄市804鼓山區美術館路80號,120.28655,22.65669,2022/06/16 15:16:53,https://khh.travel/image/394/640x480
旗津觀光漁港,高雄市805旗津區北汕巷50-60號,120.28690,22.59086,2022/06/16 11:51:12,https://khh.travel/image/1112/640x480
摩登高雄-R9中央公園站,高雄市801前金區中山一路11號(1號出口 ),120.30110,22.62486,2022/06/14 09:57:28,https://khh.travel/image/158/640x480
鳥松濕地,高雄市833鳥松區大埤路32號(澄清湖正門口左前方),120.34981,22.65286,2022/06/13 13:55:30,https://khh.travel/content/images/Attractions/1885/640x480_01_6884.jpg
高雄都會公園,高雄市811楠梓區德民路24號,120.31042,22.73328,2022/06/13 10:50:32,https://khh.travel/image/653/640x480
衛武營都會公園,高雄市830鳳山區新強里15鄰輜汽路281號,120.33954,22.61977,2022/05/27 10:39:20,https://khh.travel/image/1408/640x480
旗津天后宮,高雄市805旗津區廟前路93號,120.26843,22.61338,2022/05/25 21:21:15,https://khh.travel/image/1132/640x480
